CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2015-10-25,31,26,22,23,21,19,89,76,51,1018,1016,1014,18,7,3,11,6,,0.00,4,中雨,97
2015-10-26,30,26,21,23,22,20,91,76,54,1018,1016,1014,16,7,3,11,6,,0.00,4,,111
2015-10-27,29,26,22,24,23,21,94,85,63,1017,1015,1013,16,7,3,18,5,,0.00,4,中雨,74
2015-10-28,31,27,22,24,23,21,100,79,47,1019,1016,1014,14,5,2,14,6,,0.51,4,,106
2015-10-29,31,27,22,23,22,19,89,74,48,1020,1017,1015,18,8,3,14,8,,0.00,5,中雨,133
2015-10-30,30,26,22,23,22,18,94,78,52,1020,1017,1016,18,8,2,26,8,,0.76,4,中雨,62
2015-10-31,25,22,18,18,17,15,88,71,54,1023,1021,1020,23,11,10,26,14,,0.51,6,中雨,31
2015-11-1,20,18,16,17,14,11,88,77,62,1025,1023,1022,31,13,10,29,16,,0.00,7,中雨,16
2015-11-2,25,20,15,13,9,7,77,53,33,1024,1021,1018,31,15,10,21,13,,0.00,3,,29
2015-11-3,27,21,16,17,14,10,82,63,42,1022,1020,1018,27,12,6,14,8,,0.00,5,,69
2015-11-4,29,23,17,20,17,16,88,69,43,1020,1018,1016,26,11,3,11,6,,0.00,3,,67
2015-11-5,31,26,20,23,20,18,89,70,47,1018,1016,1013,21,9,2,11,6,,0.25,3,中雨,110
2015-11-6,29,26,22,23,22,20,91,79,56,1017,1015,1013,18,8,3,14,6,,0.00,6,,126
2015-11-7,30,26,21,24,23,20,94,81,59,1018,1016,1014,18,7,2,11,3,,1.02,5,中雨,97
2015-11-8,30,27,23,24,24,22,94,83,60,1018,1016,1014,19,8,0,11,6,,0.00,6,雾,111
2015-11-9,28,24,21,24,21,16,94,78,59,1018,1016,1015,29,10,3,26,11,,0.00,6,中雨,10
2015-11-10,23,21,19,18,17,15,83,73,63,1020,1017,1016,26,11,8,18,11,,0.00,7,中雨,51
2015-11-11,25,22,20,20,19,17,88,80,62,1019,1017,1015,14,8,3,14,8,,0.00,8,中雨,54
2015-11-12,24,22,19,20,19,17,94,84,64,1019,1017,1015,13,8,3,18,8,,0.51,7,中雨,44
2015-11-13,19,18,17,17,17,15,100,93,87,1018,1016,1015,18,9,3,26,13,,26.92,8,中雨,360
2015-11-14,26,21,17,21,18,15,94,81,59,1017,1015,1013,27,12,6,14,10,,0.00,4,,24
2015-11-15,28,24,21,22,21,19,94,81,63,1017,1014,1012,14,9,5,18,8,,0.51,5,中雨,112
2015-11-16,29,25,21,24,22,19,89,80,60,1015,1013,1010,23,10,6,26,8,,0.00,5,中雨,134
2015-11-17,30,26,22,24,22,20,100,81,52,1015,1013,1011,26,10,5,18,8,,0.00,4,,128
2015-11-18,31,26,22,23,22,20,100,81,48,1017,1015,1014,26,8,2,11,6,,0.00,3,,94
2015-11-19,29,24,21,23,22,19,94,83,62,1019,1017,1015,16,7,2,14,6,,0.00,4,,80
2015-11-20,29,24,21,23,22,19,94,81,50,1019,1016,1014,14,7,2,11,6,,0.00,4,中雨,99
2015-11-21,26,23,22,23,21,19,94,81,67,1020,1017,1015,18,8,2,14,10,,0.00,5,中雨,42
2015-11-22,30,26,21,20,19,18,88,74,48,1019,1017,1015,19,11,6,18,8,,0.00,4,中雨,53
2015-11-23,29,24,19,19,18,17,91,72,49,1020,1017,1014,26,16,5,18,8,,0.00,,中雨,58
2015-11-24,28,23,18,20,18,16,89,72,46,1019,1017,1014,26,11,3,14,8,29,0.00,3,,74
2015-11-25,23,18,13,20,12,7,88,64,46,1023,1020,1017,31,13,10,40,19,,0.00,4,,359
2015-11-26,21,16,11,7,4,3,67,46,27,1025,1023,1020,31,27,21,32,23,,0.00,,,22
2015-11-27,21,15,9,9,4,1,76,48,20,1026,1024,1021,31,20,10,18,11,26,0.00,3,,53
2015-11-28,21,16,12,12,9,7,77,63,37,1025,1023,1021,26,12,6,14,6,,0.00,6,,82
2015-11-29,24,19,15,16,13,11,82,69,47,1024,1022,1020,18,8,5,26,8,,0.00,4,,22
2015-11-30,24,20,16,15,14,12,82,69,46,1022,1020,1017,19,10,8,18,11,,0.00,4,,358
2015-12-1,25,21,17,19,16,13,88,73,52,1019,1017,1015,16,9,5,11,6,,0.00,4,中雨,59
2015-12-2,26,21,17,20,17,12,94,79,56,1020,1017,1015,23,6,2,29,8,,0.25,5,中雨,41
2015-12-3,16,14,14,15,13,12,100,93,86,1023,1021,1020,11,6,3,21,13,,7.87,8,中雨,24
2015-12-4,15,14,13,14,12,11,100,89,77,1025,1023,1021,16,9,3,21,13,,6.10,8,中雨,30
2015-12-5,15,13,12,12,11,10,100,87,77,1024,1020,1018,18,9,5,26,11,,6.10,7,中雨,16
2015-12-6,16,13,11,11,8,7,94,74,55,1026,1024,1022,31,12,10,32,21,,0.00,5,中雨,12
2015-12-7,16,13,10,10,8,7,77,69,53,1027,1025,1022,31,12,10,26,18,,0.00,7,,9
2015-12-8,15,13,12,13,10,8,100,78,63,1026,1024,1021,26,10,2,18,14,,2.03,7,中雨,16
2015-12-9,15,14,13,14,13,12,100,94,88,1022,1019,1015,11,8,2,21,10,,21.08,7,中雨,351
2015-12-10,22,18,14,15,14,12,94,81,58,1018,1016,1014,27,12,5,26,11,,0.00,5,,7
2015-12-11,21,18,14,14,12,12,88,72,57,1019,1017,1015,26,11,10,26,13,,0.00,5,,31
2015-12-12,19,17,14,16,14,11,94,83,67,1018,1016,1013,14,8,5,11,6,,0.00,8,中雨,51
2015-12-13,22,19,16,18,16,14,100,85,63,1017,1016,1014,14,6,4,18,6,,1.02,7,,360
2015-12-14,19,17,14,15,13,10,100,80,64,1020,1018,1016,31,12,3,26,16,,3.05,8,中雨,2
2015-12-15,20,16,12,10,9,8,72,62,43,1024,1021,1018,26,12,6,29,21,43,0.00,4,中雨,6
2015-12-16,17,13,11,8,3,-2,72,49,23,1028,1025,1023,29,10,6,32,23,43,0.00,1,,20
2015-12-17,15,11,6,1,-3,-7,61,35,16,1030,1027,1025,29,24,10,32,23,50,0.00,,中雨,25
2015-12-18,18,11,5,5,-1,-4,73,47,22,1030,1027,1024,27,20,10,18,8,,0.00,,,56
2015-12-19,20,13,6,8,4,2,81,57,21,1028,1026,1024,31,20,10,14,8,,0.00,,,68
2015-12-20,21,16,12,12,9,6,82,64,38,1025,1023,1020,26,10,6,11,5,,0.00,6,中雨,85
2015-12-21,18,16,14,14,13,11,88,79,68,1024,1022,1020,14,7,5,11,6,,0.76,7,中雨,65
2015-12-22,21,18,15,18,16,14,94,87,68,1022,1020,1018,13,4,0,14,3,,0.51,7,雾-中雨,66
2015-12-23,24,21,18,21,19,17,100,92,65,1020,1017,1015,13,2,0,18,3,,0.00,7,雾-中雨,120
2015-12-24,26,20,14,22,19,12,100,91,62,1020,1016,1014,19,5,1,35,8,,2.03,7,中雨,356
2015-12-25,19,16,12,11,9,7,82,65,44,1025,1023,1021,31,14,10,32,23,43,0.00,7,中雨,3
2015-12-26,14,12,11,12,9,7,100,84,60,1023,1022,1020,23,9,2,21,11,,6.10,8,中雨,26
2015-12-27,19,16,12,13,12,10,100,83,66,1027,1023,1022,23,9,2,29,10,,3.05,6,中雨,12
2015-12-28,20,16,11,11,9,8,88,65,44,1030,1027,1025,26,11,8,21,11,,0.00,5,,41
